1,0,3,6,895
1,0,3,8,896
1,0,3,13,897
1,0,3,17,898
1,0,3,24,899
1,0,3,60,900
1,0,3,36,901
1,0,3,61,902
1,1,1,8,903
1,1,1,59,904
1,1,1,43,905
1,1,1,52,906
1,1,0,25,907
1,1,0,37,908
1,1,0,61,909
1,1,0,63,910
1,0,3,7,911
1,0,3,5,912
1,0,3,9,913
1,0,3,14,914
1,0,3,25,915
1,0,3,29,916
1,0,3,58,917
1,0,3,66,918
1,1,1,10,919
1,1,1,64,920
1,1,1,35,921
1,1,1,66,922
1,1,0,16,923
1,1,0,1,924
1,1,0,15,925
1,1,0,57,926
1,1,0,60,927
1,1,0,62,928
1,0,3,12,929
1,0,3,16,930
1,0,3,21,931
1,0,3,28,932
1,0,3,30,933
1,1,1,12,934
1,1,1,67,935
1,1,1,49,936
1,1,1,58,937
1,1,0,29,938
1,1,0,36,939
1,1,0,26,940
1,1,0,52,941
1,1,0,55,942
1,1,0,58,943
1,0,3,10,944
1,0,3,15,945
1,0,3,18,946
1,0,3,26,947
1,0,3,27,948
1,1,1,9,949
1,1,1,15,950
1,1,1,13,951
1,1,1,65,952
1,1,1,38,953
1,1,0,34,954
1,1,0,19,955
1,1,0,48,956
1,1,0,51,957
1,1,0,53,958
1,1,0,54,959
1,1,0,59,960
1,0,3,20,961
1,0,3,23,962
1,1,1,16,963
1,1,1,17,964
1,1,1,14,965
1,1,1,57,966
1,1,0,21,967
1,1,0,6,968
1,1,0,20,969
1,1,0,46,970
1,1,0,44,971
1,1,0,43,972
1,1,0,47,973
1,1,0,49,974
1,0,3,19,975
1,1,1,19,976
1,1,1,18,977
1,1,1,20,978
1,1,1,48,979
1,1,0,10,980
1,1,0,31,981
1,1,0,13,982
1,1,0,5,983
1,1,0,40,984
1,1,0,41,985
1,1,0,39,986
1,1,0,42,987
1,1,1,21,988
1,1,1,23,989
1,1,1,24,990
1,1,1,25,991
1,1,0,9,992
1,1,0,32,993
1,1,0,23,994
1,1,0,33,995
1,1,0,12,996
1,1,0,35,997
1,1,0,38,998
1,1,1,26,999
1,1,1,27,1000
1,1,1,29,1001
1,1,1,28,1002
1,1,0,7,1003
1,1,0,30,1004
1,1,0,17,1005
1,1,0,4,1006
1,1,0,3,1007
1,1,1,30,1008
1,1,1,31,1009
1,1,1,33,1010
1,1,1,32,1011
1,1,0,8,1012
1,1,0,28,1013
1,1,0,27,1014
1,1,1,34,1015
1,1,1,37,1016
1,1,1,36,1017
1,1,0,0,1018
1,0,3,65,1019
